root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
ES,RTH,B1,1h,insample,SignatureSlope,11405,0,0.0,0,0.025461730376496787,0.0006482997137654192,0.588054052124918,0.8529726155294435,True,0.0011024491905511154,False,False,0.01176108104249836,0.02,False
ES,RTH,B1,30min,insample,RS_up,22470,341,0.014948928148700188,0,0.5543563493423991,0.307310962056232,0.3958240376050629,0.6736771351183367,True,0.7763827682513166,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,RS_down,22275,536,0.02349743544781027,0,0.6095338165002054,0.37153147345730614,0.3958240376050629,0.6736771351183367,True,0.9386278703669965,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,JumpVar,11731,11080,0.48573056858533165,0,0.5465785145090225,0.2987480725228897,0.3958240376050629,0.6736771351183367,True,0.7547496971898618,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,Parkinson,22811,0,0.0,0,0.7452657106826341,0.5554209795192917,0.3958240376050629,0.6736771351183367,True,1.403201743077231,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,GarmanKlass,22811,0,0.0,0,0.7530766080430022,0.5671243775815537,0.3958240376050629,0.6736771351183367,True,1.4327689167463025,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,VolumeSurprise,22811,0,0.0,0,0.18675533199600153,0.034877554028936754,0.3958240376050629,0.6736771351183367,True,0.08811378470080727,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,CrossLeadLag,22811,0,0.0,0,0.681405824730633,0.4643138979768342,0.3958240376050629,0.6736771351183367,True,1.1730310791284173,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.7204377783423415,0.5190305924628488,0.3958240376050629,0.6736771351183367,True,1.3112659746569417,True,True,0.007916480752101258,0.02,False
ES,RTH,B1,30min,insample,SignatureSlope,22811,0,0.0,0,0.005729599575876555,3.28283112998848e-05,0.3958240376050629,0.6736771351183367,True,8.293662885789557e-05,False,False,0.007916480752101258,0.02,False
NQ,RTH,B0,1day,insample,RS_up,1900,0,0.0,0,0.7812863447089541,0.6104083524286786,0.9312843759268288,0.9760122926626974,True,0.6554478612627757,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,RS_down,1900,0,0.0,0,0.774443403884249,0.5997625858198221,0.9312843759268288,0.9760122926626974,True,0.644016587546558,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,JumpVar,1248,652,0.3431578947368421,0,0.48876749354732546,0.23889366274853482,0.9312843759268288,0.9760122926626974,True,0.256520638511501,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,Parkinson,1900,0,0.0,0,0.7618970627566853,0.5804871342372645,0.9312843759268288,0.9760122926626974,True,0.623318880078445,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,GarmanKlass,1900,0,0.0,0,0.7618351926906953,0.5803928608220689,0.9312843759268288,0.9760122926626974,True,0.6232176506176782,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,VolumeSurprise,1900,0,0.0,0,0.2289649918447241,0.052424967490454576,0.9312843759268288,0.9760122926626974,True,0.05629318911130709,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,CrossLeadLag,1900,0,0.0,0,0.777038865889189,0.6037893991023571,0.9312843759268288,0.9760122926626974,True,0.6483405227339463,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.7730253539815658,0.5975681978983252,0.9312843759268288,0.9760122926626974,True,0.6416602848121616,True,True,0.018625687518536577,0.02,False
NQ,RTH,B0,1day,insample,SignatureSlope,1900,0,0.0,0,0.059850921667946096,0.0035821328245026194,0.9312843759268288,0.9760122926626974,True,0.003846443596713007,False,False,0.018625687518536577,0.02,False
NQ,RTH,B0,1h,insample,RS_up,11403,2,0.00017536168347216134,0,0.5979332554375711,0.3575241779581717,0.8101747602302579,0.887111968415982,True,0.441292663642793,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,RS_down,11400,5,0.00043840420868040335,0,0.644367332115511,0.41520925869766123,0.8101747602302579,0.887111968415982,True,0.5124934508940461,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,JumpVar,6007,5398,0.4733011836913634,0,0.5136217323369507,0.26380728392881025,0.8101747602302579,0.887111968415982,True,0.3256177517228927,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,Parkinson,11405,0,0.0,0,0.685039123213409,0.4692786003329961,0.8101747602302579,0.887111968415982,True,0.5792313255964966,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,GarmanKlass,11405,0,0.0,0,0.6945060436516226,0.4823386446686295,0.8101747602302579,0.887111968415982,True,0.5953513591703908,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,VolumeSurprise,11405,0,0.0,0,0.24139482668408724,0.058271462349840514,0.8101747602302579,0.887111968415982,True,0.07192455900907023,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,CrossLeadLag,11405,0,0.0,0,0.707152435953722,0.500064567675283,0.8101747602302579,0.887111968415982,True,0.617230494237022,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.6877921053740995,0.4730579802149364,0.8101747602302579,0.887111968415982,True,0.5838962202185731,True,True,0.016203495204605158,0.02,False
NQ,RTH,B0,1h,insample,SignatureSlope,11405,0,0.0,0,0.02494540179213664,0.0006222730705711339,0.8101747602302579,0.887111968415982,True,0.0007680726444678172,False,False,0.016203495204605158,0.02,False
NQ,RTH,B0,30min,insample,RS_up,22520,291,0.012757003200210424,0,0.5126461935076977,0.26280611971793183,0.6765338975574761,0.7760344553519921,True,0.3884596480187524,True,True,0.013530677951149522,0.02,False
NQ,RTH,B0,30min,insample,RS_down,22405,406,0.01779843058173688,0,0.566754941948827,0.3212111642234183,0.6765338975574761,0.7760344553519921,True,0.47478946048838483,True,True,0.013530677951149522,0.02,False
NQ,RTH,B0,30min,insample,JumpVar,11569,11242,0.4928324054184385,0,0.5322788911734626,0.28332081798885084,0.6765338975574761,0.7760344553519921,True,0.418782885841697,True,True,0.013530677951149522,0.02,False
