root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,138,2023,3,55,0.35645699911814543,0.4952117648763192,0.5592161170966315,0.7731204365232177,0.17554268125876843,0.906678078340098,0.7311353970813295
NQ,GLOBEX,B0,1day,345,0,0,1948,0.8288442765387066,0.8490292383645867,1.0277369259957747,0.9648158335142851,0.8669100894513121,0.9926540137108236,0.19889264945706808
NQ,GLOBEX,B0,1day,345,0,1,650,0.394233952452815,0.48515485141457476,0.7294027527029519,0.806189028236904,0.6058353957076362,0.9751041486732428,0.5808701962204278
NQ,GLOBEX,B0,1day,345,0,2,649,0.48990473334213264,0.5659621369772293,0.8062559359261741,0.8114270245638632,0.5550033708642222,0.9639640546375385,0.4740593212954059
NQ,GLOBEX,B0,1day,345,0,3,649,0.691559722421786,0.735706694800921,1.2180497041541516,1.0357990797862684,0.7770529032363345,0.9837306239232176,0.5264899817323656
NQ,GLOBEX,B0,1day,345,2016,0,241,0.7990395179772812,0.8111057307625437,1.1449660629722493,1.0005673267949133,0.9172154097991735,0.9905487780727975,0.3459265449949681
NQ,GLOBEX,B0,1day,345,2016,1,111,0.6966815032706705,0.8517883238446933,2.8502884726261892,4.6113612618426165,0.5149422740900678,0.9623683576488478,4.096418987752549
NQ,GLOBEX,B0,1day,345,2016,2,89,0.5880106495182597,0.6234273731990269,1.4374212619809177,1.0952703664810377,0.7136163625772857,0.9653841525289456,0.849410612462658
NQ,GLOBEX,B0,1day,345,2016,3,41,0.9967183455680321,0.9463850955255441,-2.504267959718756,-67.69108356410216,0.6745954109091691,0.9824167534403472,68.68780190967018
NQ,GLOBEX,B0,1day,345,2017,0,242,0.7275659747011626,0.7953721797614934,2.279902685911707,1.710221510980629,0.5961607454438583,0.9755882358643136,1.6837419404678484
NQ,GLOBEX,B0,1day,345,2017,1,194,0.5555720199226544,0.6689078533178905,1.7769883199162537,1.5957708763059495,0.5563273213293042,0.9624275406795937,1.2214162999935994
NQ,GLOBEX,B0,1day,345,2017,2,42,-0.3090091477643646,-0.3082338364828023,0.24161898625069916,0.24116689071145134,0.009538619864129622,0.9506608642319956,1.2596700119963602
NQ,GLOBEX,B0,1day,345,2018,0,243,0.906636985503719,0.8622732708599535,1.5173666027764485,1.0800109311653376,0.8314388484156433,0.99136063427474,0.6859277543608052
NQ,GLOBEX,B0,1day,345,2018,1,72,0.19031351436128016,0.2029001785724578,0.42804636870899726,0.33106430489783734,0.35131947697078714,0.9516154276651143,0.7613019133038341
NQ,GLOBEX,B0,1day,345,2018,2,84,0.7786151400926927,0.9246150938732723,4.756305222478244,9.890399684909667,0.4898944853500477,0.9628916357844868,9.40050519955962
NQ,GLOBEX,B0,1day,345,2018,3,87,1.4405578706811943,1.369843479567241,-2.462400210015216,-4.099099434574969,0.8079411115396685,0.9794746618193065,5.5396573052561635
NQ,GLOBEX,B0,1day,345,2019,0,243,0.7410352427859519,0.7848725667476605,1.322734181602631,1.1457333519898698,0.760165505582698,0.9864941613966746,0.5816989388166791
NQ,GLOBEX,B0,1day,345,2019,1,100,0.45081018585549226,0.4392159990688912,0.8659436830514294,0.6065492338193365,0.5795520295364278,0.9738989971675086,0.5346829980986174
NQ,GLOBEX,B0,1day,345,2019,2,91,0.651749924534984,0.570847396980709,-31.46684240964509,1.712632267697058,0.745546911772043,0.957722187875015,33.17947467734215
NQ,GLOBEX,B0,1day,345,2019,3,52,0.8546328792056505,0.6722141358639429,-1.6758776544735539,2.4037491107641826,0.45689440333237047,0.9720725157869288,4.0796267652377365
