root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
ES,RTH,0.5,13,1.9641432735025883,1.0560601430237246,1.0226997230727517,1.0,0.03336041995097294,0.03261995598350209,0.7751640954007181,False
ES,RTH,0.5,26,1.9641432735025883,1.258239694116533,1.2006506074244323,1.0,0.05758908669210072,0.04796490030987255,0.7751640954007181,False
ES,RTH,0.5,78,1.9641432735025883,1.5060366899810549,1.5060366662142837,1.0,2.376677121773696e-08,1.57810042811235e-08,0.7751640954007181,True
ES,RTH,0.5,195,1.9641432735025883,1.5786040757060218,1.7512306323795346,1.0,-0.1726265566735128,-0.09857442730941246,0.7751640954007181,False
ES,RTH,0.5,389,1.9641432735025883,1.6013479304181604,1.9283603774237197,1.0,-0.3270124470055593,-0.16958056742611893,0.7751640954007181,False
NQ,RTH,0.05,5,1.753066794008017,0.7590368115474814,0.784826611801029,1.0,-0.0257898002535476,-0.032860506850506566,1.1522031854742925,False
NQ,RTH,0.05,6,1.753066794008017,0.7829306993170428,0.8378405731299368,1.0,-0.05490987381289392,-0.06553737736496346,1.1522031854742925,False
NQ,RTH,0.05,10,1.753066794008017,0.9229424463554088,0.9818129752257356,1.0,-0.058870528870326844,-0.05996104182346085,1.1522031854742925,False
NQ,RTH,0.05,13,1.753066794008017,0.992506196493187,1.0701824929625985,1.0,-0.07767629646941143,-0.07258229038524,1.1522031854742925,False
NQ,RTH,0.05,26,1.753066794008017,1.210707575008927,1.2879560975565012,1.0,-0.0772485225475743,-0.05997760536568719,1.1522031854742925,False
NQ,RTH,0.05,78,1.753066794008017,1.5856517288532812,1.5856516357311756,1.0,9.312210558221068e-08,5.872797248507311e-08,1.1522031854742925,True
NQ,RTH,0.05,195,1.753066794008017,2.2022199430902036,1.8484377522067843,1.0,0.35378219088341933,0.19139524198802538,1.1522031854742925,False
NQ,RTH,0.05,389,1.753066794008017,2.974965813653132,2.0743921922205244,1.0,0.9005736214326077,0.4341385514320666,1.1522031854742925,False
