root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
NQ,GLOBEX,2.0,36,1.3953221895229713,0.13868386397758925,1.256638325545382,0.09939200065685337
NQ,GLOBEX,2.0,37,1.4056558152952794,0.13868386397758925,1.2669719513176902,0.0986613241083178
NQ,GLOBEX,2.0,38,1.4366692011560966,0.13868386397758925,1.2979853371785075,0.09653152156807529
NQ,GLOBEX,2.0,39,1.4505613143249012,0.13868386397758925,1.3118774503473118,0.09560703336565503
NQ,GLOBEX,2.0,40,1.4545029292127682,0.13868386397758925,1.3158190652351789,0.09534794409293502
ES,RTH,0.5,1,0.4517625505167181,0.4124602948118069,0.03930225570491119,0.9130024043383898
ES,RTH,0.5,2,0.577932649615849,0.4124602948118069,0.1654723548040421,0.7136822864843657
ES,RTH,0.5,3,0.6784566334755749,0.4124602948118069,0.26599633866376804,0.6079390700314464
ES,RTH,0.5,4,0.7236913009527395,0.4124602948118069,0.3112310061409326,0.5699395505636216
ES,RTH,0.5,5,0.7726894709133478,0.4124602948118069,0.3602291761015409,0.5337982596349649
ES,RTH,0.5,6,0.8591092639472809,0.4124602948118069,0.446648969135474,0.48010225488281716
ES,RTH,0.5,7,0.9099441234262111,0.4124602948118069,0.4974838286144042,0.4532809039513007
ES,RTH,0.5,8,0.9363691919407313,0.4124602948118069,0.5239088971289244,0.4404889635005357
ES,RTH,0.5,9,0.9845838642537281,0.4124602948118069,0.5721235694419212,0.4189183976973195
ES,RTH,0.5,10,1.0076634338871602,0.4124602948118069,0.5952031390753533,0.4093234714498878
ES,RTH,0.5,11,1.0806900390646286,0.4124602948118069,0.6682297442528217,0.3816638257985651
ES,RTH,0.5,12,1.088290444532939,0.4124602948118069,0.6758301497211322,0.37899836103846546
ES,RTH,0.5,13,1.1078242223684798,0.4124602948118069,0.6953639275566729,0.37231564943577855
ES,RTH,0.5,14,1.1311180043802531,0.4124602948118069,0.7186577095684462,0.3646483330780298
ES,RTH,0.5,15,1.1458142984388082,0.4124602948118069,0.7333540036270013,0.3599713281408612
ES,RTH,0.5,16,1.1646908157772071,0.4124602948118069,0.7522305209654002,0.35413715745373076
ES,RTH,0.5,17,1.2107443411475458,0.4124602948118069,0.7982840463357389,0.34066671285936073
ES,RTH,0.5,18,1.2763399314442692,0.4124602948118069,0.8638796366324623,0.32315865440727753
ES,RTH,0.5,19,1.234180690299053,0.4124602948118069,0.8217203954872462,0.3341976568373178
ES,RTH,0.5,20,1.3037354023909196,0.4124602948118069,0.8912751075791127,0.3163681020361925
ES,RTH,0.5,21,1.3303897967261606,0.4124602948118069,0.9179295019143537,0.310029658846448
ES,RTH,0.5,22,1.3751688195857998,0.4124602948118069,0.9627085247739929,0.2999342982020489
