root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
NQ,GLOBEX,B1,1day,345,TRQ5_TRV5,1948,0,0,0,0,2.1209959070742405e-11,4.214836735627614e-06
NQ,GLOBEX,B1,1day,345,TRQ10_TRV10,1948,0,0,0,0,2.1209959070742405e-11,4.214836735627614e-06
NQ,GLOBEX,B1,1day,345,MEDRQ_MEDRV,1948,0,0,0,0,2.3071160483306886e-11,4.348223397567902e-06
ES,RTH,B0,1day,5,RQ_RV,1901,0,0,0,0,5.011548787665046e-14,2.851902536349371e-07
ES,RTH,B0,1day,5,TQ_BV,1901,49,49,1,1,0.0,0.0
ES,RTH,B0,1day,5,TRQ3_TRV3,1901,1,9,1,1,0.0,0.0
ES,RTH,B0,1day,5,TRQ5_TRV5,1901,1,5,1,1,0.0,0.0
ES,RTH,B0,1day,5,TRQ10_TRV10,1901,1,1,1,1,0.0,0.0
ES,RTH,B0,1day,5,MEDRQ_MEDRV,1901,0,4,0,0,1.1523771345335104e-15,2.895055833507584e-08
ES,RTH,B0,1day,6,RQ_RV,1901,0,0,0,0,1.5728795283319301e-13,4.4019225242664106e-07
ES,RTH,B0,1day,6,TQ_BV,1901,7,8,0,0,0.0,2.8921033248549675e-07
ES,RTH,B0,1day,6,TRQ3_TRV3,1901,0,1,0,0,3.3191882455857534e-15,5.7612396631157026e-08
ES,RTH,B0,1day,6,TRQ5_TRV5,1901,0,0,0,0,3.8888908756503894e-14,2.178028353228001e-07
ES,RTH,B0,1day,6,TRQ10_TRV10,1901,0,0,0,0,1.5728795283319301e-13,4.4019225242664106e-07
ES,RTH,B0,1day,6,MEDRQ_MEDRV,1901,0,0,0,0,2.6064064246151952e-14,2.0463038206836954e-07
ES,RTH,B0,1day,10,RQ_RV,1901,0,0,0,0,5.553931580643073e-13,7.277628810697934e-07
ES,RTH,B0,1day,10,TQ_BV,1901,0,0,0,0,1.1284558770702136e-13,3.3314006709717793e-07
ES,RTH,B0,1day,10,TRQ3_TRV3,1901,0,0,0,0,8.09331319622635e-14,3.0349360713444185e-07
ES,RTH,B0,1day,10,TRQ5_TRV5,1901,0,0,0,0,5.553931580643073e-13,7.277628810697934e-07
ES,RTH,B0,1day,10,TRQ10_TRV10,1901,0,0,0,0,5.553931580643073e-13,7.277628810697934e-07
ES,RTH,B0,1day,10,MEDRQ_MEDRV,1901,0,0,0,0,5.90916644398471e-14,3.077353611586503e-07
ES,RTH,B0,1day,13,RQ_RV,1901,0,0,0,0,9.942233500451483e-13,1.1205265764147043e-06
ES,RTH,B0,1day,13,TQ_BV,1901,0,0,0,0,3.8765693054054503e-13,9.166991365795347e-07
ES,RTH,B0,1day,13,TRQ3_TRV3,1901,0,0,0,0,4.726369403846525e-13,6.996870069997385e-07
ES,RTH,B0,1day,13,TRQ5_TRV5,1901,0,0,0,0,9.942233500451483e-13,1.1205265764147043e-06
ES,RTH,B0,1day,13,TRQ10_TRV10,1901,0,0,0,0,9.942233500451483e-13,1.1205265764147043e-06
ES,RTH,B0,1day,13,MEDRQ_MEDRV,1901,0,0,0,0,2.9081388812060783e-13,5.763944364849074e-07
ES,RTH,B0,1day,26,RQ_RV,1901,0,0,0,0,1.5967378430545841e-12,1.3453552583087003e-06
ES,RTH,B0,1day,26,TQ_BV,1901,0,0,0,0,1.3686935296271273e-12,1.1945636726575465e-06
ES,RTH,B0,1day,26,TRQ3_TRV3,1901,0,0,0,0,1.5967378430545841e-12,1.3453552583087003e-06
ES,RTH,B0,1day,26,TRQ5_TRV5,1901,0,0,0,0,1.5967378430545841e-12,1.3453552583087003e-06
ES,RTH,B0,1day,26,TRQ10_TRV10,1901,0,0,0,0,1.5967378430545841e-12,1.3453552583087003e-06
ES,RTH,B0,1day,26,MEDRQ_MEDRV,1901,0,0,0,0,1.4463586217354163e-12,1.3028178054218262e-06
ES,RTH,B0,1day,78,RQ_RV,1901,0,0,0,0,7.121042294580359e-12,2.297196033396176e-06
