root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
NQ,RTH,B1,1day,195,0.9305361645809647,0.9896461428775527,0.9780931910784487,1.0804412819338853,1901,194.98947922146237,0.01030918704702152,0.9903388939393821,False
NQ,RTH,B1,1day,389,0.9344009680731142,0.994621494991568,1.0097312791173454,1.0465876249207404,1901,388.97685428721724,0.0051546277620026035,0.9951459673773342,False
NQ,RTH,B1,1h,4,0.8176669972729993,0.9989686170621587,0.6352676390389458,2.242986168005201,11406,4.0,0.6449340668482266,0.6884121489665213,False
NQ,RTH,B1,1h,5,0.7981769775704439,0.9982383749614059,0.6856472525726343,2.078177258056947,11406,5.0,0.4903577561002349,0.7439725051975934,False
NQ,RTH,B1,1h,6,0.7725436636835135,0.8876723187715967,0.7145125728711211,1.9942217694225084,11406,5.99982465369104,0.39493406684822646,0.7829830600121528,False
NQ,RTH,B1,1h,10,0.8456981139056635,0.9112615259919107,0.7879044804809461,1.80846354176829,11406,9.9995616342276,0.22132295573711533,0.8655568361257303,False
NQ,RTH,B1,1h,12,0.8621540592523426,0.9213693169514057,0.8101747602302579,1.758752058556736,11406,11.99947396107312,0.18132295573711532,0.887111968415982,True
NQ,RTH,B1,1h,15,0.8753250679503365,0.9316967989095825,0.8386360151129748,1.6990643159460839,11406,14.99929861476416,0.1426158966967038,0.9090176929322712,False
NQ,RTH,B1,1h,20,0.9001573516021212,0.9455665482684626,0.8582105978379507,1.6603110366329086,11406,19.99894792214624,0.10516633568168576,0.9312666569309412,False
NQ,RTH,B1,1h,30,0.9174697643142853,0.9605795344544357,0.8932710843299393,1.5951445785514482,11406,29.998246536910397,0.0689382278476838,0.9538515035829646,False
NQ,RTH,B1,1h,60,0.935730999945097,0.9781804166183807,0.9497789234694411,1.500240205521387,11406,59.99614238120287,0.033895060357739946,0.9767649740761797,False
NQ,RTH,B1,30min,5,1.0266443569011252,0.9994473676973,0.6429036707332101,2.1285236764311475,22812,4.9997808171138,0.4903577561002349,0.7361956711782681,False
NQ,RTH,B1,30min,6,0.7583767797990534,0.9969397199405703,0.6765338975574761,2.022715624096093,22812,5.99973698053656,0.39493406684822646,0.7760344553519921,True
NQ,RTH,B1,30min,10,0.8505498411391487,0.9127719633115481,0.7460481080132968,1.8342459020025323,22812,9.99947396107312,0.22132295573711533,0.8607820394298745,False
NQ,RTH,B1,30min,15,0.891767390848549,0.9330072091914107,0.795263267134123,1.720732921252029,22812,14.999123268455198,0.1426158966967038,0.9056181149332163,False
NQ,RTH,B1,30min,30,0.9264306788654363,0.9605987174182957,0.8653811737464322,1.581309746889758,22812,29.998071190601436,0.0689382278476838,0.9520387651117641,False
